"Ano notificação";"Ign/Branco";"Sim";"Não";"Total"
"2013";598;65;447;1110
"2014";299990;19637;271501;591128
"2015";930373;38328;729100;1697801
"2016";834688;32265;651905;1518858
"2017";110229;11599;121508;243336
"2018";100406;15100;150880;266386
"2019";528307;56196;972085;1556588
"2020";287588;31872;633049;952509
"2021";162466;16923;352422;531811
"2022";373989;49798;970745;1394532
"2023";426267;49706;1032963;1508936
"2024";2118115;182439;4083836;6384390
"Total";6173016;503928;9970441;16647385